Context,English,Gibberish,French,Spanish,German,Korean,BrazilianPortuguese,SimplifedChinese,Russian,Italian,Portuguese,Hungarian,Japanese,Norwegian,Polish,Dutch,Romanian,Danish,Czech,Swedish,Ukrainian,Greek,Arabic,Vietnamese,Turkish
,The dynamite will blow up in 3 seconds... Goodbye !,,La dynamite va exploser dans 3 secondes... Au revoir !,,,,,,,,,,,,,,,,,,,,,,
,Big Dynamite,,Grande Dynamite,,,,,,,,,,,,,,,,,,,,,,
,fumee,,fumée,,,,,,,,,,,,,,,,,,,,,,
,Already actived !,,Déjà activé !,,,,,,,,,,,,,,,,,,,,,,
,Big dynamite. It has a destruction diameter of 9 blocks and gives gives 10 % stone rubbles.,,Grande dynamite. Elle a un diamètre de destruction de 9 blocs et donne 10 % de gravats de pierre.,,,,,,,,,,,,,,,,,,,,,,
,Medium Dynamite,,Dynamite moyenne,,,,,,,,,,,,,,,,,,,,,,
,Medium dynamite. It has a destruction diameter of 7 blocks and gives 25% rubbles.,,Dynamite moyenne. Elle a un diamètre de destruction de 7 blocs et donne 25% de gravats.,,,,,,,,,,,,,,,,,,,,,,
,Small Dynamite,,Petite dynamite,,,,,,,,,,,,,,,,,,,,,,
,Small dynamite. It has a destruction diameter of 6 blocks and gives 100% rubbles.,,Petite dynamite. Elle a un diamètre de destruction de 6 blocs et donne 100% de gravats.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
