Context,English,Gibberish,French,Spanish,German,Korean,BrazilianPortuguese,SimplifedChinese,Russian,Italian,Portuguese,Hungarian,Japanese,Norwegian,Polish,Dutch,Romanian,Danish,Czech,Swedish,Ukrainian,Greek,Arabic,Vietnamese,Turkish
,Wire Fence,,Grillage,,,,,,,,,,,,,,,,,,,,,,
,Keeps critters out. *Disclaimer: Does not impede animals.,,Éloigne les bestioles. *Avertissement : ne gêne pas les animaux.,,,,,,,,,,,,,,,,,,,,,,
,Reinforced Wire Fence,,Grillage renforcé,,,,,,,,,,,,,,,,,,,,,,
,A reinforced section of fence perfect for near gates.,,Une section de clôture renforcée parfaite pour les portails proches.,,,,,,,,,,,,,,,,,,,,,,
,Broken Wire Fence,,Grillage brisé,,Pas de remboursement.,,,,,,,,,,,,,,,,,,,,
,Corner Wire Fence,,Grillage d'angle,,,,,,,,,,,,,,,,,,,,,,
,Perfect for rectangles..,,Parfait pour les rectangles..,,,,,,,,,,,,,,,,,,,,,,
,Diagonal Wire Fence,,Grillage en diagonale,,,,,,,,,,,,,,,,,,,,,,
,A diagonal fence, string it along those country roads with impunity.,,Un Grillage diagonale, enfilez-la le long de ces routes de campagne en toute impunité.,,,,,,,,,,,,,,,,,,,,,,
,Downward Wire Fence,,Grillage vers le bas,,,,,,,,,,,,,,,,,,,,,,
,It go down.,,Ça descend.,,,,,,,,,,,,,,,,,,,,,,
,Wire Fence Gate,,Grille de grillage,,,,,,,,,,,,,,,,,,,,,,
,A gate. It seems you've lost the keys.,,Une porte. Il semble que vous ayez perdu les clés.,,,,,,,,,,,,,,,,,,,,,,
,Bent Wire Fence Gate,,Porte de clôture en fil plié,,,,,,,,,,,,,,,,,,,,,,
,It's jammed shut.,,C'est bloqué.,,,,,,,,,,,,,,,,,,,,,,
,Upward Wire Fence,,Grillage vers le haut,,,,,,,,,,,,,,,,,,,,,,
,It don't go down.,,Ça ne descend pas.,,,,,,,,,,,,,,,,,,,,,,
,Fence Workbench,,Établi de clôture,,,,,,,,,,,,,,,,,,,,,,
,A table for fences of all kind.,,Une table pour les clôtures de toutes sortes.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
